unit,icha11_hf,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 
EUR_HAB,HF121,AT	2001.32 	1927.49 	1866.41 	1818.96 	1770.42 	1711.40 	1678.79 	1620.60 	1577.38 	1568.05 	1541.69 	1478.16 	1391.92 	1346.30 	1299.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF121,BA	294.43 	277.99 	276.15 	255.48 	236.94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF121,BE	2298.09 	2257.14 	2186.04 	2229.72 	2490.86 	2426.69 	2398.89 	2322.25 	2233.56 	2174.31 	2060.18 	1875.25 	1777.48 	1739.58 	1706.24 	1574.55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF121,BG	285.51 b	253.17 	230.17 	216.79 	222.89 	192.12 	174.49 	155.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF121,CH	280.91 	288.92 	291.03 	299.95 	252.43 	250.69 	257.51 	257.21 	227.91 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF121,CY	3.80 	4.20 	4.86 	4.68 	8.94 	9.49 	10.39 	10.81 	10.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF121,CZ	1041.40 	903.22 	831.25 	814.04 	: 	829.22 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF121,DE	3280.47 	3162.72 	2992.00 	2891.70 	2782.18 	2653.42 	2528.79 	2468.63 	2383.37 	2298.53 	2163.69 	2070.96 	1995.61 	1942.70 	1886.69 	1933.83 	1898.70 	1839.89 	1786.71 	1744.36 	1684.29 	1649.21 	1669.57 	1585.23 	1415.69 	1304.34 	1248.53 
EUR_HAB,HF121,DK	0.00 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF121,EA18	1609.92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF121,EA19	1601.81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF121,EE	847.28 b	741.97 	696.48 	649.93 	610.56 b	558.36 b	520.10 	480.24 	457.91 	466.22 	469.56 	396.73 	309.59 	274.42 	239.82 b	207.69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF121,EL	415.22 	436.40 	397.82 	378.45 	356.01 	422.61 	546.05 	727.44 	750.37 	823.84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF121,ES	96.60 	91.65 	92.36 	90.87 	88.60 	87.08 	85.68 	86.12 	87.25 	86.28 	88.90 	85.62 	84.86 	79.74 	74.53 	69.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF121,EU27_2007	1163.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF121,EU27_2020	1332.36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF121,EU28	1159.73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF121,FI	492.83 	474.72 	482.81 	496.18 	484.40 	476.42 	481.28 	464.15 	446.10 	448.29 	445.77 	412.99 	397.02 	379.53 	364.42 	338.68 	313.98 	286.92 	261.47 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF121,FR	2843.44 	2806.14 	2759.12 	2709.27 	2681.54 	2621.55 	2568.74 	2519.47 	2469.51 	2427.66 	2348.45 	2284.88 	2212.33 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF121,HR	678.05 	611.56 	611.23 	573.90 	548.91 	551.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF121,HU	558.31 	531.10 	493.35 	445.76 	435.94 	432.04 	426.04 	448.19 	438.02 	401.20 	453.05 	433.54 	444.64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
